fila,columna,tiempo
322,882,945.81
322,902,963.335
322,922,978.403
322,942,994.819
322,962,1010.55
322,982,1026.15
342,2,1.48405
342,22,21.7543
342,42,41.5879
342,62,66.7915
342,82,82.1211
342,102,116.83
342,122,132.626
342,142,147.981
342,162,163.437
342,182,177.842
342,202,233.122
342,222,248.073
342,242,264.108
342,262,281.318
342,282,295.978
342,302,313.799
342,322,326.148
342,342,340.642
342,362,355.719
342,382,370.287
342,402,461.894
342,422,478.108
342,442,494.674
342,462,511.678
342,482,528.393
342,502,544.744
342,522,560.352
342,542,576.389
342,562,591.343
342,582,606.129
342,602,622.236
342,622,642.847
342,642,650.973
342,662,666.101
342,682,681.674
342,702,696.497
342,722,709.709
342,742,728.074
342,762,739.319
342,782,905.542
342,802,922.215
342,822,939.711
342,842,961.61
342,862,974.405
342,882,992.075
342,902,1007.59
342,922,1025.21
342,942,1040.87
342,962,1057.86
342,982,1075.8
362,2,1.51016
362,22,22.2117
362,42,43.18
362,62,69.5711
362,82,85.5429
362,102,121.126
362,122,138.094
362,142,154.33
362,162,170.089
362,182,222.261
362,202,241.274
362,222,259.275
362,242,275.739
362,262,292.611
362,282,308.254
362,302,323.89
362,322,339.663
362,342,355.807
362,362,370.08
362,382,462.313
362,402,485.684
362,422,499.485
362,442,517.732
362,462,534.864
362,482,551.825
362,502,568.154
362,522,583.481
362,542,600.177
362,562,616.045
362,582,632.237
362,602,647.832
362,622,663.848
362,642,679.476
362,662,694.762
362,682,710.059
362,702,727.641
362,722,743.502
362,742,909.632
362,762,926.425
362,782,946.26
362,802,962.011
362,822,982.398
362,842,1000.69
362,862,1018.26
362,882,1035.17
362,902,1053.9
362,922,1072.15
362,942,1089.83
362,962,1105.7
362,982,1128.44
382,2,1.55954
382,22,23.2468
382,42,45.5666
382,62,72.5108
382,82,89.0013
382,102,125.888
382,122,143.593
382,142,161.127
382,162,177.057
382,182,232.257
382,202,251.85
382,222,269.671
382,242,292.978
382,262,304.096
382,282,320.888
382,302,337.597
382,322,354.116
382,342,370.068
382,362,464.612
382,382,487.996
382,402,501.73
382,422,519.728
382,442,539.104
382,462,556.298
382,482,574.047
382,502,592.335
382,522,607.876
382,542,624.294
382,562,641.756
382,582,658.194
382,602,673.505
382,622,691.711
382,642,707.552
382,662,727.812
382,682,739.887
382,702,910.817
382,722,936.522
382,742,952.625
382,762,966.836
382,782,986.077
382,802,1004.74
382,822,1023.66
382,842,1041.91
382,862,1057.78
382,882,1079.22
382,902,1098.94
382,922,1115.94
382,942,1133.99
382,962,1150.5
382,982,1169.98
402,2,1.63411
402,22,28.8945
402,42,56.1115
402,62,75.1388
402,82,92.4466
402,102,130.965
402,122,149.074
402,142,166.855
402,162,183.577
402,182,240.861
402,202,260.607
402,222,279.157
402,242,297.801
402,262,316.916
402,282,332.758
402,302,350.693
402,322,367.017
402,342,460.733
402,362,481.967
402,382,501.283
402,402,520.295
402,422,544.881
402,442,561.816
402,462,576.705
402,482,596.934
402,502,612.854
402,522,636.139
402,542,654.614
402,562,665.015
402,582,689.563
402,602,701.099
402,622,716.81
402,642,733.345
402,662,899.232
402,682,921.831
402,702,944.715
402,722,963.84
402,742,985.795
402,762,1006.61
402,782,1023.43
402,802,1042.1
402,822,1059.94
402,842,1089.17
402,862,1103.15
402,882,1121.57
402,902,1140.53
402,922,1158.61
402,942,1175.85
402,962,1195.34
402,982,1213.48
422,2,1.96659
422,22,29.9468
422,42,58.3193
422,62,78.0269
422,82,115.666
422,102,135.694
422,122,154.925
422,142,173.014
422,162,228.602
422,182,250.479
422,202,270.19
422,222,289.819
422,242,308.507
422,262,327.5
422,282,345.031
422,302,362.91
422,322,456.38
422,342,478.263
422,362,500.684
422,382,520.603
422,402,540.688
422,422,560.951
422,442,580.165
422,462,597.933
422,482,618.136
422,502,635.704
422,522,654.727
422,542,673.283
422,562,690.037
422,582,707.814
422,602,726.426
422,622,892.392
422,642,913.198
422,662,936.686
422,682,959.834
422,702,986.872
422,722,1000.24
422,742,1021.27
422,762,1041.25
422,782,1063.78
422,802,1083.5
422,822,1103.79
422,842,1122.43
422,862,1149.96
422,882,1162.39
422,902,1181.67
422,922,1202.83
422,942,1221.44
422,962,1239.27
422,982,1260.75
442,2,2.03507
442,22,31.023
442,42,60.3461
442,62,80.4785
442,82,119.52
442,102,140.175
442,122,160.473
442,142,178.992
442,162,237.165
442,182,259.344
442,202,280.173
442,222,300.691
442,242,320.038
442,262,342.529
442,282,357.127
442,302,450.084
442,322,473.515
442,342,496.034
442,362,516.607
442,382,539.301
442,402,558.431
442,422,579.343
442,442,599.26
442,462,620.534
442,482,637.497
442,502,656.932
442,522,676.198
442,542,695.338
442,562,714.168
442,582,732.169
442,602,900.142
442,622,924.555
442,642,947.823
442,662,969.622
442,682,991.428
442,702,1011.54
442,722,1035.01
442,742,1058.03
442,762,1077.97
442,782,1100.34
442,802,1120.42
442,822,1141.84
442,842,1160.68
442,862,1185.88
442,882,1210.86
442,902,1225.1
442,922,1249.59
442,942,1264.78
442,962,1300.48
442,982,1302.24
462,2,2.09016
462,22,32.0275
462,42,62.2643
462,62,83.3806
462,82,123.396
462,102,145.092
462,122,166.145
462,142,184.884
462,162,245.109
462,182,268.014
462,202,289.212
462,222,309.363
462,242,330.165
462,262,349.253
462,282,368.707
462,302,466.573
462,322,489.65
462,342,511.985
462,362,534.968
462,382,556.851
462,402,576.455
462,422,598.521
462,442,619.092
462,462,638.781
462,482,659.388
462,502,678.585
462,522,698.586
462,542,717.574
462,562,738.622
462,582,907.473
462,602,934.323
462,622,955.58
462,642,980.102
462,662,1001.61
462,682,1025.34
462,702,1048.61
462,722,1070.17
462,742,1093.97
462,762,1114.65
462,782,1136.92
462,802,1158.51
462,822,1178.57
462,842,1201.39
462,862,1221.33
462,882,1244.24
462,902,1265.35
462,922,1284.1
462,942,1305.69
462,962,1326.29
462,982,1346.57
482,2,2.15722
482,22,33.3128
482,42,64.4919
482,62,85.9991
482,82,127.053
482,102,149.635
482,122,170.764
482,142,228.766
482,162,253.001
482,182,275.937
482,202,298.351
482,222,319.622
482,242,340.458
482,262,360.562
482,282,457.479
482,302,480.864
482,322,505.651
482,342,528.979
482,362,553.99
482,382,573.461
482,402,599.394
482,422,617.02
482,442,637.202
482,462,659.711
482,482,680.457
482,502,700.158
482,522,720.949
482,542,740.883
482,562,914.875
482,582,942.494
482,602,961.316
482,622,987.154
482,642,1011.6
482,662,1035.5
482,682,1061.85
482,702,1082.47
482,722,1106.03
482,742,1130.11
482,762,1156.66
482,782,1181.26
482,802,1195.7
482,822,1218.77
482,842,1240.64
482,862,1261.6
482,882,1283.64
482,902,1305.58
482,922,1327.38
482,942,1348.57
482,962,1371.75
482,982,1401.45
502,2,2.21122
502,22,34.0558
502,42,66.2848
502,62,88.3481
502,82,131.497
502,102,153.896
502,122,175.586
502,142,236.501
502,162,261.166
502,182,285.023
502,202,307.082
502,222,329.372
502,242,351.135
502,262,446.831
502,282,471.598
502,302,499.048
502,322,520.915
502,342,545.174
502,362,568.922
502,382,591.22
502,402,613.479
502,422,635.952
502,442,657.724
502,462,678.47
502,482,706.85
502,502,721.671
502,522,743.427
502,542,918.125
502,562,950.367
502,582,969.408
502,602,994.56
502,622,1018.97
502,642,1043.23
502,662,1070.33
502,682,1092.86
502,702,1116.98
502,722,1146.03
502,742,1169.01
502,762,1195.13
